vertex id,originalDegree,color,orderColored
0,2,1,327
1,2,2,0
2,2,1,326
3,2,0,0
4,2,2,325
5,2,0,0
6,2,2,324
7,2,0,0
8,2,2,323
9,2,0,0
10,2,2,322
11,2,0,0
12,2,2,321
13,2,0,0
14,2,2,320
15,2,0,0
16,2,2,319
17,2,0,0
18,2,2,318
19,2,0,0
20,2,2,317
21,2,0,0
22,2,2,316
23,2,0,0
24,2,2,315
25,2,0,0
26,2,2,314
27,2,0,0
28,2,2,313
29,2,0,0
30,2,2,312
31,2,0,0
32,2,2,311
33,2,0,0
34,2,2,310
35,2,0,0
36,2,2,309
37,2,0,0
38,2,2,308
39,2,0,0
40,2,2,307
41,2,0,0
42,2,2,306
43,2,0,0
44,2,2,305
45,2,0,0
46,2,2,304
47,2,0,0
48,2,2,303
49,2,0,0
50,2,2,302
51,2,0,0
52,2,2,301
53,2,0,0
54,2,2,300
55,2,0,0
56,2,2,299
57,2,0,0
58,2,2,298
59,2,0,0
60,2,2,297
61,2,0,0
62,2,2,296
63,2,0,0
64,2,2,295
65,2,0,0
66,2,2,294
67,2,0,0
68,2,2,293
69,2,0,0
70,2,2,292
71,2,0,0
72,2,2,291
73,2,0,0
74,2,2,290
75,2,0,0
76,2,2,289
77,2,0,0
78,2,2,288
79,2,0,0
80,2,2,287
81,2,0,0
82,2,2,286
83,2,0,0
84,2,2,285
85,2,0,0
86,2,2,284
87,2,0,0
88,2,2,283
89,2,0,0
90,2,2,282
91,2,0,0
92,2,2,281
93,2,0,0
94,2,2,280
95,2,0,0
96,2,2,279
97,2,0,0
98,2,2,278
99,2,0,0
100,2,2,277
101,2,0,0
102,2,2,276
103,2,0,0
104,2,2,275
105,2,0,0
106,2,2,274
107,2,0,0
108,2,2,273
109,2,0,0
110,2,2,272
111,2,0,0
112,2,2,271
113,2,0,0
114,2,2,270
115,2,0,0
116,2,2,269
117,2,0,0
118,2,2,268
119,2,0,0
120,2,2,267
121,2,0,0
122,2,2,266
123,2,0,0
124,2,2,265
125,2,0,0
126,2,2,264
127,2,0,0
128,2,2,263
129,2,0,0
130,2,2,262
131,2,0,0
132,2,2,261
133,2,0,0
134,2,2,260
135,2,0,0
136,2,2,259
137,2,0,0
138,2,2,258
139,2,0,0
140,2,2,257
141,2,0,0
142,2,2,256
143,2,0,0
144,2,2,255
145,2,0,0
146,2,2,254
147,2,0,0
148,2,2,253
149,2,0,0
