vertex id,originalDegree,color,orderColored
0,2,2,316
1,2,0,0
2,2,2,317
3,2,0,0
4,2,2,318
5,2,0,0
6,2,2,319
7,2,0,0
8,2,2,320
9,2,0,0
10,2,2,321
11,2,0,0
12,2,2,322
13,2,0,0
14,2,2,323
15,2,0,0
16,2,2,324
17,2,0,0
18,2,2,325
19,2,0,0
20,2,2,326
21,2,0,0
22,2,2,327
23,2,0,0
24,2,2,328
25,2,0,0
26,2,2,329
27,2,0,0
28,2,2,330
29,2,0,0
30,2,2,331
31,2,0,0
32,2,2,332
33,2,0,0
34,2,2,333
35,2,0,0
36,2,2,334
37,2,0,0
38,2,2,335
39,2,0,0
40,2,2,336
41,2,0,0
42,2,2,337
43,2,0,0
44,2,2,338
45,2,0,0
46,2,2,339
47,2,0,0
48,2,2,340
49,2,0,0
50,2,2,341
51,2,0,0
52,2,2,342
53,2,0,0
54,2,2,343
55,2,0,0
56,2,2,344
57,2,0,0
58,2,2,345
59,2,0,0
60,2,2,346
61,2,0,0
62,2,2,347
63,2,0,0
64,2,2,348
65,2,0,0
66,2,2,349
67,2,0,0
68,2,2,350
69,2,0,0
70,2,2,351
71,2,0,0
72,2,2,352
73,2,0,0
74,2,2,353
75,2,0,0
76,2,2,354
77,2,0,0
78,2,2,355
79,2,0,0
80,2,2,356
81,2,0,0
82,2,2,357
83,2,0,0
84,2,2,358
85,2,0,0
86,2,2,359
87,2,0,0
88,2,2,360
89,2,0,0
90,2,2,361
91,2,0,0
92,2,2,362
93,2,0,0
94,2,2,363
95,2,0,0
96,2,2,364
97,2,0,0
98,2,2,365
99,2,0,0
100,2,2,366
101,2,0,0
102,2,2,367
103,2,0,0
104,2,2,368
105,2,0,0
106,2,2,369
107,2,0,0
108,2,2,370
109,2,0,0
110,2,2,371
111,2,0,0
112,2,2,372
113,2,0,0
114,2,2,373
115,2,0,0
116,2,2,374
117,2,0,0
118,2,2,375
119,2,0,0
120,2,2,376
121,2,0,0
122,2,2,377
123,2,0,0
124,2,2,378
125,2,0,0
126,2,2,379
127,2,0,0
128,2,2,380
129,2,0,0
130,2,2,381
131,2,0,0
132,2,2,382
133,2,0,0
134,2,2,383
135,2,0,0
136,2,2,384
137,2,0,0
138,2,2,385
139,2,0,0
140,2,2,386
141,2,0,0
142,2,2,387
143,2,0,0
144,2,2,388
145,2,0,0
146,2,2,389
147,2,0,0
148,2,2,390
149,2,0,0
150,2,2,391
151,2,0,0
152,2,2,392
153,2,0,0
154,2,2,393
155,2,0,0
156,2,2,394
157,2,0,0
158,2,2,395
159,2,0,0
160,2,2,396
161,2,0,0
162,2,2,397
163,2,0,0
164,2,2,398
165,2,0,0
166,2,2,399
167,2,0,0
168,2,2,400
169,2,0,0
170,2,2,401
171,2,0,0
172,2,2,402
173,2,0,0
174,2,2,403
175,2,0,0
176,2,2,404
177,2,0,0
178,2,2,405
179,2,0,0
180,2,2,406
181,2,0,0
182,2,2,407
183,2,0,0
184,2,2,408
185,2,0,0
186,2,2,409
187,2,0,0
188,2,2,410
189,2,0,0
190,2,2,411
191,2,0,0
192,2,2,412
193,2,0,0
194,2,2,413
195,2,0,0
196,2,2,414
197,2,0,0
198,2,2,415
199,2,0,0
200,2,2,416
201,2,0,0
202,2,2,417
203,2,0,0
