vertex id,originalDegree,degreeDelete,average,terminalClique
0,2,2,2,286
1,2,1,2,286
2,2,2,2,286
3,2,1,2,286
4,2,2,2,286
5,2,1,2,286
6,2,2,2,286
7,2,1,2,286
8,2,2,2,286
9,2,1,2,286
10,2,2,2,286
11,2,1,2,286
12,2,2,2,286
13,2,1,2,286
14,2,2,2,286
15,2,1,2,286
16,2,2,2,286
17,2,1,2,286
18,2,2,2,286
19,2,1,2,286
20,2,2,2,286
21,2,1,2,286
22,2,2,2,286
23,2,1,2,286
24,2,2,2,286
25,2,1,2,286
26,2,2,2,286
27,2,1,2,286
28,2,2,2,286
29,2,1,2,286
30,2,2,2,286
31,2,1,2,286
32,2,2,2,286
33,2,1,2,286
34,2,2,2,286
35,2,1,2,286
36,2,2,2,286
37,2,1,2,286
38,2,2,2,286
39,2,1,2,286
40,2,2,2,286
41,2,1,2,286
42,2,2,2,286
43,2,1,2,286
44,2,2,2,286
45,2,1,2,286
46,2,2,2,286
47,2,1,2,286
48,2,2,2,286
49,2,1,2,286
50,2,2,2,286
51,2,1,2,286
52,2,2,2,286
53,2,1,2,286
54,2,2,2,286
55,2,1,2,286
56,2,2,2,286
57,2,1,2,286
58,2,2,2,286
59,2,1,2,286
60,2,2,2,286
61,2,1,2,286
62,2,2,2,286
63,2,1,2,286
64,2,2,2,286
65,2,1,2,286
66,2,2,2,286
67,2,1,2,286
68,2,2,2,286
69,2,1,2,286
70,2,2,2,286
71,2,1,2,286
72,2,2,2,286
73,2,1,2,286
74,2,2,2,286
75,2,1,2,286
76,2,2,2,286
77,2,1,2,286
78,2,2,2,286
79,2,1,2,286
80,2,2,2,286
81,2,1,2,286
82,2,2,2,286
83,2,1,2,286
84,2,2,2,286
85,2,1,2,286
86,2,2,2,286
87,2,1,2,286
88,2,2,2,286
89,2,1,2,286
90,2,2,2,286
91,2,1,2,286
92,2,2,2,286
93,2,1,2,286
94,2,2,2,286
95,2,1,2,286
96,2,2,2,286
97,2,1,2,286
98,2,2,2,286
99,2,1,2,286
100,2,2,2,286
101,2,1,2,286
102,2,2,2,286
103,2,1,2,286
104,2,2,2,286
105,2,1,2,286
106,2,2,2,286
107,2,1,2,286
108,2,2,2,286
109,2,1,2,286
110,2,2,2,286
111,2,1,2,286
112,2,2,2,286
113,2,1,2,286
114,2,2,2,286
115,2,1,2,286
116,2,2,2,286
117,2,1,2,286
118,2,2,2,286
119,2,1,2,286
120,2,2,2,286
121,2,1,2,286
122,2,2,2,286
123,2,1,2,286
124,2,2,2,286
125,2,1,2,286
126,2,2,2,286
127,2,1,2,286
128,2,2,2,286
129,2,1,2,286
130,2,2,2,286
131,2,1,2,286
132,2,2,2,286
133,2,1,2,286
134,2,2,2,286
135,2,1,2,286
136,2,2,2,286
137,2,1,2,286
138,2,2,2,286
139,2,1,2,286
140,2,2,2,286
141,2,1,2,286
142,2,2,2,286
143,2,1,2,286
144,2,2,2,286
145,2,1,2,286
146,2,2,2,286
147,2,1,2,286
148,2,2,2,286
149,2,1,2,286
150,2,2,2,286
151,2,1,2,286
152,2,2,2,286
153,2,1,2,286
154,2,2,2,286
155,2,1,2,286
156,2,2,2,286
157,2,1,2,286
158,2,2,2,286
159,2,1,2,286
160,2,2,2,286
161,2,1,2,286
162,2,2,2,286
163,2,1,2,286
164,2,2,2,286
165,2,1,2,286
166,2,2,2,286
167,2,1,2,286
168,2,2,2,286
169,2,1,2,286
170,2,2,2,286
171,2,1,2,286
172,2,2,2,286
173,2,1,2,286
174,2,2,2,286
175,2,1,2,286
176,2,2,2,286
177,2,1,2,286
178,2,2,2,286
179,2,1,2,286
180,2,2,2,286
181,2,1,2,286
182,2,2,2,286
183,2,1,2,286
184,2,2,2,286
185,2,1,2,286
186,2,2,2,286
187,2,1,2,286
188,2,2,2,286
189,2,1,2,286
190,2,1,2,286
191,2,1,2,286
192,2,1,2,286
193,2,1,2,286
194,2,1,2,286
195,2,1,2,286
196,2,1,2,286
197,2,1,2,286
198,2,1,2,286
199,2,1,2,286
200,2,1,2,286
201,2,1,2,286
202,2,1,2,286
203,2,1,2,286
204,2,1,2,286
205,2,1,2,286
206,2,1,2,286
207,2,1,2,286
208,2,1,2,286
209,2,1,2,286
210,2,1,2,286
211,2,1,2,286
212,2,1,2,286
213,2,1,2,286
214,2,1,2,286
215,2,1,2,286
216,2,1,2,286
217,2,1,2,286
218,2,1,2,286
219,2,1,2,286
220,2,1,2,286
221,2,1,2,286
222,2,1,2,286
223,2,1,2,286
224,2,1,2,286
225,2,1,2,286
226,2,1,2,286
227,2,1,2,286
228,2,1,2,286
229,2,1,2,286
230,2,1,2,286
231,2,1,2,286
232,2,1,2,286
233,2,1,2,286
